,,,'mixed3a','mixed3b','mixed4a','mixed4b','mixed4c','mixed4d','mixed4e','mixed5a','mixed5b',
top5gen/data/canoe1.jpeg,0.89,paddle,54.08163265,52.55102041,56.12244898,61.2244898,58.16326531,56.63265306,63.26530612,91.83673469,100,top5gen/data/canoe1.jpeg->paddle
top5gen/data/canoe1.jpeg,0.09,canoe,49.3622449,52.67857143,50.51020408,56.63265306,60.71428571,50,61.73469388,89.79591837,100,top5gen/data/canoe1.jpeg->canoe
top5gen/data/canoe1.jpeg,0.01,speedboat,52.42346939,53.82653061,57.14285714,58.16326531,62.75510204,59.18367347,60.71428571,100,100,top5gen/data/canoe1.jpeg->speedboat
top5gen/data/canoe1.jpeg,0.01,killer whale,51.53061224,52.29591837,53.06122449,54.08163265,59.18367347,57.14285714,60.20408163,97.95918367,100,top5gen/data/canoe1.jpeg->killer whale
top5gen/data/canoe1.jpeg,0,great white shark,52.67857143,52.29591837,56.63265306,57.65306122,61.73469388,60.71428571,61.73469388,97.95918367,100,top5gen/data/canoe1.jpeg->great white shark
top5gen/data/canoe2.jpeg,0.16,wreck,63.52040816,60.07653061,76.02040816,72.95918367,66.83673469,63.7755102,71.42857143,61.2244898,100,top5gen/data/canoe2.jpeg->wreck
top5gen/data/canoe2.jpeg,0.16,lakeside,57.90816327,59.56632653,69.89795918,68.87755102,70.91836735,66.32653061,70.91836735,69.3877551,100,top5gen/data/canoe2.jpeg->lakeside
top5gen/data/canoe2.jpeg,0.15,sandbar,59.56632653,57.01530612,67.85714286,72.95918367,69.89795918,67.34693878,68.36734694,79.59183673,100,top5gen/data/canoe2.jpeg->sandbar
top5gen/data/canoe2.jpeg,0.13,promontory,60.96938776,59.18367347,66.83673469,71.93877551,71.93877551,61.73469388,70.40816327,79.59183673,100,top5gen/data/canoe2.jpeg->promontory
top5gen/data/canoe2.jpeg,0.09,breakwater,55.48469388,54.84693878,63.7755102,67.34693878,63.7755102,54.59183673,59.69387755,57.14285714,100,top5gen/data/canoe2.jpeg->breakwater
top5gen/data/canoe3.jpeg,0.93,canoe,57.27040816,56.25,71.42857143,69.89795918,64.28571429,63.26530612,65.30612245,57.14285714,100,top5gen/data/canoe3.jpeg->canoe
top5gen/data/canoe3.jpeg,0.02,paddle,52.55102041,53.69897959,63.7755102,57.65306122,58.16326531,49.48979592,56.63265306,57.14285714,100,top5gen/data/canoe3.jpeg->paddle
