,,,'mixed3a','mixed3b','mixed4a','mixed4b','mixed4c','mixed4d','mixed4e','mixed5a','mixed5b',
top5gen/data/canoe1.jpeg,0.89,paddle,0.032258065,0,0.075268817,0.182795699,0.11827957,0.086021505,0.225806452,0.827956989,1,top5gen/data/canoe1.jpeg->paddle
top5gen/data/canoe1.jpeg,0.09,canoe,0,0.065491184,0.022670025,0.143576826,0.22418136,0.012594458,0.244332494,0.798488665,1,top5gen/data/canoe1.jpeg->canoe
top5gen/data/canoe1.jpeg,0.01,speedboat,0,0.029490617,0.09919571,0.120643432,0.217158177,0.142091153,0.174262735,1,1,top5gen/data/canoe1.jpeg->speedboat
top5gen/data/canoe1.jpeg,0.01,killer whale,0,0.015789474,0.031578947,0.052631579,0.157894737,0.115789474,0.178947368,0.957894737,1,top5gen/data/canoe1.jpeg->killer whale
top5gen/data/canoe1.jpeg,0,great white shark,0.00802139,0,0.090909091,0.112299465,0.197860963,0.176470588,0.197860963,0.957219251,1,top5gen/data/canoe1.jpeg->great white shark
top5gen/data/canoe2.jpeg,0.16,wreck,0.086261981,0,0.399361022,0.322683706,0.169329073,0.092651757,0.284345048,0.028753994,1,top5gen/data/canoe2.jpeg->wreck
top5gen/data/canoe2.jpeg,0.16,lakeside,0,0.039393939,0.284848485,0.260606061,0.309090909,0.2,0.309090909,0.272727273,1,top5gen/data/canoe2.jpeg->lakeside
top5gen/data/canoe2.jpeg,0.15,sandbar,0.059347181,0,0.252225519,0.370919881,0.299703264,0.240356083,0.264094955,0.525222552,1,top5gen/data/canoe2.jpeg->sandbar
top5gen/data/canoe2.jpeg,0.13,promontory,0.04375,0,0.1875,0.3125,0.3125,0.0625,0.275,0.5,1,top5gen/data/canoe2.jpeg->promontory
top5gen/data/canoe2.jpeg,0.09,breakwater,0.019662921,0.005617978,0.202247191,0.280898876,0.202247191,0,0.112359551,0.056179775,1,top5gen/data/canoe2.jpeg->breakwater
top5gen/data/canoe3.jpeg,0.93,canoe,0.023323615,0,0.346938776,0.311953353,0.183673469,0.160349854,0.206997085,0.020408163,1,top5gen/data/canoe3.jpeg->canoe
top5gen/data/canoe3.jpeg,0.02,paddle,0.060606061,0.083333333,0.282828283,0.161616162,0.171717172,0,0.141414141,0.151515152,1,top5gen/data/canoe3.jpeg->paddle
top5gen/data/canoe3.jpeg,0.01,bobsled,0.023715415,0,0.241106719,0.335968379,0.256916996,0.067193676,0.209486166,0.304347826,1,top5gen/data/canoe3.jpeg->bobsled
top5gen/data/canoe3.jpeg,0,tub,0.029605263,0,0.407894737,0.328947368,0.210526316,0.223684211,0.25,0.052631579,1,top5gen/data/canoe3.jpeg->tub
top5gen/data/canoe3.jpeg,0,stretcher,0.0125,0.046875,0.2625,0.45,0.4125,0.4625,0.3,0,1,top5gen/data/canoe3.jpeg->stretcher
top5gen/data/canoe4.jpeg,0.37,canoe,0.054607509,0,0.194539249,0.126279863,0.112627986,0.153583618,0.221843003,0.61774744,1,top5gen/data/canoe4.jpeg->canoe
top5gen/data/canoe4.jpeg,0.23,gondola,0,0.034934498,0.004366812,0.091703057,0.126637555,0.283842795,0.144104803,0.720524017,1,top5gen/data/canoe4.jpeg->gondola
top5gen/data/canoe4.jpeg,0.06,grey whale,0.064788732,0,0.109859155,0.154929577,0.177464789,0.222535211,0.166197183,0.549295775,1,top5gen/data/canoe4.jpeg->grey whale
top5gen/data/canoe4.jpeg,0.03,running shoe,0,0.03968254,0.026455026,0.037037037,0.100529101,0.111111111,0.206349206,0.322751323,1,top5gen/data/canoe4.jpeg->running shoe
top5gen/data/canoe4.jpeg,0.03,trimaran,0.012158055,0,0.14893617,0.027355623,0.039513678,0.015197568,0.063829787,0.659574468,1,top5gen/data/canoe4.jpeg->trimaran
top5gen/data/canoe5.jpeg,0.63,canoe,0,0.075409836,0.383606557,0.42295082,0.409836066,0.370491803,0.370491803,0.632786885,1,top5gen/data/canoe5.jpeg->canoe
top5gen/data/canoe5.jpeg,0.36,paddle,0,0.076923077,0.409230769,0.36,0.421538462,0.310769231,0.396923077,0.507692308,1,top5gen/data/canoe5.jpeg->paddle
top5gen/data/canoe5.jpeg,0,speedboat,0,0.102880658,0.473251029,0.341563786,0.423868313,0.440329218,0.374485597,0.736625514,1,top5gen/data/canoe5.jpeg->speedboat
top5gen/data/canoe5.jpeg,0,bobsled,0,0.130769231,0.323076923,0.353846154,0.553846154,0.353846154,0.492307692,0.015384615,1,top5gen/data/canoe5.jpeg->bobsled
top5gen/data/canoe5.jpeg,0,coho,0.005970149,0,0.28358209,0.2,0.2,0.28358209,0.020895522,0.904477612,1,top5gen/data/canoe5.jpeg->coho
top5gen/data/cassette1.jpeg,0.93,cassette,0,0.109467456,0.289940828,0.24260355,0.207100592,0.301775148,0.147928994,0.763313609,1,top5gen/data/cassette1.jpeg->cassette
top5gen/data/cassette1.jpeg,0.04,cassette player,0,0.03880597,0.164179104,0.080597015,0.152238806,0.211940299,0.056716418,0.665671642,1,top5gen/data/cassette1.jpeg->cassette player
top5gen/data/cassette1.jpeg,0.03,tape player,0,0.062686567,0.188059701,0.128358209,0.188059701,0.188059701,0.11641791,0.76119403,1,top5gen/data/cassette1.jpeg->tape player
top5gen/data/cassette1.jpeg,0,pencil sharpener,0.07712766,0.111702128,0.223404255,0.095744681,0,0.191489362,0.095744681,0.872340426,1,top5gen/data/cassette1.jpeg->pencil sharpener
top5gen/data/cassette1.jpeg,0,switch,0.044117647,0.026470588,0.129411765,0.129411765,0,0.129411765,0.058823529,0.764705882,1,top5gen/data/cassette1.jpeg->switch
top5gen/data/cassette2.jpeg,0.93,cassette,0,0.041509434,0.320754717,0.2,0.290566038,0.139622642,0.018867925,0.879245283,1,top5gen/data/cassette2.jpeg->cassette
top5gen/data/cassette2.jpeg,0.04,tape player,0,0.026315789,0.293233083,0.323308271,0.218045113,0.097744361,0.022556391,0.879699248,1,top5gen/data/cassette2.jpeg->tape player
top5gen/data/cassette2.jpeg,0.03,cassette player,0.029304029,0,0.384615385,0.267399267,0.194139194,0.018315018,0.032967033,0.824175824,1,top5gen/data/cassette2.jpeg->cassette player
top5gen/data/cassette2.jpeg,0,radio,0,0.042553191,0.375886525,0.276595745,0.262411348,0.021276596,0.035460993,0.716312057,1,top5gen/data/cassette2.jpeg->radio
top5gen/data/cassette2.jpeg,0,CD player,0.039087948,0,0.309446254,0.283387622,0.244299674,0.114006515,0.022801303,0.791530945,1,top5gen/data/cassette2.jpeg->CD player
top5gen/data/cassette3.jpeg,0.22,cassette,0.138513514,0,0.189189189,0.108108108,0.256756757,0.351351351,0.351351351,0.459459459,1,top5gen/data/cassette3.jpeg->cassette
top5gen/data/cassette3.jpeg,0.07,harmonica,0.068181818,0,0.151515152,0.151515152,0.348484848,0.46969697,0.060606061,0.696969697,1,top5gen/data/cassette3.jpeg->harmonica
top5gen/data/cassette3.jpeg,0.05,rubber eraser,0.123674912,0,0.265017668,0.236749117,0.335689046,0.307420495,0.180212014,0.886925795,1,top5gen/data/cassette3.jpeg->rubber eraser
top5gen/data/cassette3.jpeg,0.04,rule,0.078947368,0,0.338345865,0.353383459,0.473684211,0.428571429,0.218045113,0.458646617,1,top5gen/data/cassette3.jpeg->rule
top5gen/data/cassette3.jpeg,0.02,tape player,0.094915254,0,0.172881356,0.254237288,0.240677966,0.240677966,0.240677966,0.674576271,1,top5gen/data/cassette3.jpeg->tape player
top5gen/data/cassette4.jpeg,0.45,tape player,0.016339869,0,0.294117647,0.241830065,0.385620915,0.346405229,0.254901961,0.895424837,1,top5gen/data/cassette4.jpeg->tape player
top5gen/data/cassette4.jpeg,0.44,cassette player,0.034920635,0,0.288888889,0.352380952,0.326984127,0.352380952,0.2,0.695238095,1,top5gen/data/cassette4.jpeg->cassette player
top5gen/data/cassette4.jpeg,0.05,CD player,0,0.009615385,0.179487179,0.217948718,0.205128205,0.256410256,0.205128205,0.692307692,1,top5gen/data/cassette4.jpeg->CD player
